SYMBOL,NAME,PRICE(USD),GENERATED_DATE,GENERATED_TIME,DAY_OF_WEEK
BTC,Bitcoin,26265.0730257121911042,2023-09-27,16:20:01,Wednesday
ETH,Ethereum,1595.5892886473056588,2023-09-27,16:20:01,Wednesday
USDT,Tether,0.9992907571937007,2023-09-27,16:20:01,Wednesday
BNB,BNB,211.6560685476169573,2023-09-27,16:20:01,Wednesday
USDC,USD Coin,1.0001123038999558,2023-09-27,16:20:01,Wednesday
XRP,XRP,0.5039845211520079,2023-09-27,16:20:01,Wednesday
ADA,Cardano,0.2444010057238136,2023-09-27,16:20:01,Wednesday
DOGE,Dogecoin,0.0605002180140140,2023-09-27,16:20:01,Wednesday
SOL,Solana,18.9561990965971326,2023-09-27,16:20:01,Wednesday
TRX,TRON,0.0853150547607403,2023-09-27,16:20:01,Wednesday
DAI,Multi Collateral DAI,1.0023591683940567,2023-09-27,16:20:01,Wednesday
DOT,Polkadot,4.0034054982095338,2023-09-27,16:20:01,Wednesday
LTC,Litecoin,63.7884060571305282,2023-09-27,16:20:01,Wednesday
MATIC,Polygon,0.5037637833478011,2023-09-27,16:20:01,Wednesday
BCH,Bitcoin Cash,229.6886366741096807,2023-09-27,16:20:01,Wednesday
WBTC,Wrapped Bitcoin,26258.9065335547444825,2023-09-27,16:20:01,Wednesday
LINK,Chainlink,7.6642088116900100,2023-09-27,16:20:01,Wednesday
SHIB,Shiba Inu,0.0000072174044667,2023-09-27,16:20:01,Wednesday
LEO,UNUS SED LEO,3.7077006825015213,2023-09-27,16:20:01,Wednesday
AVAX,Avalanche,8.9235328124403057,2023-09-27,16:20:01,Wednesday
XLM,Stellar,0.1126891023316357,2023-09-27,16:20:01,Wednesday
TUSD,TrueUSD,0.9981046655140692,2023-09-27,16:20:01,Wednesday
XMR,Monero,145.7410588095745342,2023-09-27,16:20:01,Wednesday
OKB,OKB,42.8331121054460254,2023-09-27,16:20:01,Wednesday
